ProjectID,ProjectName,Description,StartDate,EndDate,ManagerID
33,Therapy Dog Visits #33,Project For Therapy Dog Visits #33,2024-04-06,2024-10-02,50
34,Hospital Greeter Program #34,Project For Hospital Greeter Program #34,2024-11-22,2025-05-05,20
35,Cancer Support Group #35,Project For Cancer Support Group #35,2024-01-13,2024-03-17,48
36,Mental Health Awareness #36,Project For Mental Health Awareness #36,2024-09-01,2024-10-14,39
37,Wheelchair Assistance #37,Project For Wheelchair Assistance #37,2024-08-26,2025-01-21,47
38,NICU Baby Cuddler #38,Project For NICU Baby Cuddler #38,2024-04-14,2024-08-19,7
39,Blood Donation Drive #39,Project For Blood Donation Drive #39,2024-05-26,2024-06-28,31
40,Mental Health Awareness #40,Project For Mental Health Awareness #40,2024-12-22,2025-04-15,29
41,Hospital Fundraising Team #41,Project For Hospital Fundraising Team #41,2024-09-07,2024-12-01,3
42,Emergency Room Assistance #42,Project For Emergency Room Assistance #42,2024-07-30,2024-11-04,3
43,Blood Donation Drive #43,Project For Blood Donation Drive #43,2024-04-30,2024-06-30,45
44,Cancer Support Group #44,Project For Cancer Support Group #44,2024-06-25,2024-10-01,14
45,Hospital Fundraising Team #45,Project For Hospital Fundraising Team #45,2024-04-22,2024-10-05,16
46,Music Therapy Sessions #46,Project For Music Therapy Sessions #46,2024-06-24,2024-12-16,14
47,Hospital Fundraising Team #47,Project For Hospital Fundraising Team #47,2024-09-05,2025-02-26,14
48,Pediatric Playtime #48,Project For Pediatric Playtime #48,2024-02-28,2024-08-01,12
49,Art Therapy for Patients #49,Project For Art Therapy for Patients #49,2024-10-28,2025-02-27,21
50,Therapy Dog Visits #50,Project For Therapy Dog Visits #50,2024-12-23,2025-06-14,17
51,Mental Health Awareness #51,Project For Mental Health Awareness #51,2024-03-07,2024-07-04,37
52,Music Therapy Sessions #52,Project For Music Therapy Sessions #52,2024-05-29,2024-08-09,17
53,Post-Surgery Assistance #53,Project For Post-Surgery Assistance #53,2024-12-20,2025-06-02,4
54,Emergency Room Assistance #54,Project For Emergency Room Assistance #54,2024-09-09,2024-11-26,19
55,Hospital Greeter Program #55,Project For Hospital Greeter Program #55,2024-12-01,2025-02-18,49
56,Medical Supply Organization #56,Project For Medical Supply Organization #56,2024-12-07,2025-03-29,46
57,Elderly Companionship #57,Project For Elderly Companionship #57,2024-01-28,2024-06-21,22
58,Therapy Dog Visits #58,Project For Therapy Dog Visits #58,2024-07-11,2024-11-11,37
59,Post-Surgery Assistance #59,Project For Post-Surgery Assistance #59,2024-05-05,2024-09-13,18
60,Emergency Room Assistance #60,Project For Emergency Room Assistance #60,2024-02-14,2024-06-27,30
61,Cancer Support Group #61,Project For Cancer Support Group #61,2024-12-07,2025-04-21,50
62,Music Therapy Sessions #62,Project For Music Therapy Sessions #62,2024-08-03,2024-09-17,36
63,Wheelchair Assistance #63,Project For Wheelchair Assistance #63,2024-04-16,2024-06-10,39
64,Pediatric Playtime #64,Project For Pediatric Playtime #64,2024-09-12,2025-02-17,25
65,Blood Donation Drive #65,Project For Blood Donation Drive #65,2024-04-24,2024-07-01,48
66,Emergency Room Assistance #66,Project For Emergency Room Assistance #66,2024-10-29,2025-04-09,1
67,Pediatric Playtime #67,Project For Pediatric Playtime #67,2024-07-25,2024-12-27,30
68,Child Life Volunteer Program #68,Project For Child Life Volunteer Program #68,2024-04-08,2024-09-21,49
69,Emergency Room Assistance #69,Project For Emergency Room Assistance #69,2024-11-30,2025-02-15,49
70,Support for Families #70,Project For Support for Families #70,2024-04-06,2024-09-11,6
71,Art Therapy for Patients #71,Project For Art Therapy for Patients #71,2024-03-04,2024-07-15,40
72,Mental Health Awareness #72,Project For Mental Health Awareness #72,2024-07-11,2024-11-08,8
73,Art Therapy for Patients #73,Project For Art Therapy for Patients #73,2024-07-18,2024-12-17,41
74,Child Life Volunteer Program #74,Project For Child Life Volunteer Program #74,2024-12-17,2025-04-01,1
75,Support for Families #75,Project For Support for Families #75,2024-08-11,2024-12-23,12
76,Music Therapy Sessions #76,Project For Music Therapy Sessions #76,2024-03-06,2024-08-13,36
77,Elderly Companionship #77,Project For Elderly Companionship #77,2024-01-21,2024-05-29,7
78,Therapy Dog Visits #78,Project For Therapy Dog Visits #78,2024-04-30,2024-09-16,36
79,Mental Health Awareness #79,Project For Mental Health Awareness #79,2024-06-06,2024-08-28,16
80,Therapy Dog Visits #80,Project For Therapy Dog Visits #80,2024-03-26,2024-08-30,1
81,Medical Supply Organization #81,Project For Medical Supply Organization #81,2024-05-13,2024-10-30,24
82,Elderly Companionship #82,Project For Elderly Companionship #82,2024-06-04,2024-09-09,30
83,Wheelchair Assistance #83,Project For Wheelchair Assistance #83,2024-09-03,2025-02-25,40
84,Emergency Room Assistance #84,Project For Emergency Room Assistance #84,2024-01-13,2024-06-02,34
85,Art Therapy for Patients #85,Project For Art Therapy for Patients #85,2024-05-25,2024-08-05,12
86,Patient Transport Services #86,Project For Patient Transport Services #86,2024-05-20,2024-09-11,15
87,Music Therapy Sessions #87,Project For Music Therapy Sessions #87,2024-08-30,2024-11-20,19
88,Language Interpretation for Patients #88,Project For Language Interpretation for Patients #88,2024-04-18,2024-05-26,42
89,Support for Families #89,Project For Support for Families #89,2024-01-09,2024-05-09,8
90,Elderly Companionship #90,Project For Elderly Companionship #90,2024-01-20,2024-04-26,16
91,Art Therapy for Patients #91,Project For Art Therapy for Patients #91,2024-02-12,2024-07-31,1
92,Child Life Volunteer Program #92,Project For Child Life Volunteer Program #92,2024-12-07,2025-03-28,36
93,Music Therapy Sessions #93,Project For Music Therapy Sessions #93,2024-09-01,2025-02-22,35
94,Hospital Fundraising Team #94,Project For Hospital Fundraising Team #94,2024-03-26,2024-05-02,40
95,Language Interpretation for Patients #95,Project For Language Interpretation for Patients #95,2024-03-29,2024-08-01,8
96,Hospital Fundraising Team #96,Project For Hospital Fundraising Team #96,2024-02-04,2024-05-10,32
97,Post-Surgery Assistance #97,Project For Post-Surgery Assistance #97,2024-12-04,2025-04-25,6
98,Hospital Fundraising Team #98,Project For Hospital Fundraising Team #98,2024-06-29,2024-08-30,45
99,Cancer Support Group #99,Project For Cancer Support Group #99,2024-02-02,2024-07-13,30
100,Cancer Support Group #100,Project For Cancer Support Group #100,2024-07-17,2024-08-23,21
101,Music Therapy Sessions #101,Project For Music Therapy Sessions #101,2024-01-07,2024-03-02,32
102,Wheelchair Assistance #102,Project For Wheelchair Assistance #102,2024-08-18,2024-10-15,48
103,Hospital Greeter Program #103,Project For Hospital Greeter Program #103,2024-02-14,2024-04-03,37
104,Post-Surgery Assistance #104,Project For Post-Surgery Assistance #104,2024-03-01,2024-03-31,45
105,Patient Transport Services #105,Project For Patient Transport Services #105,2024-07-27,2024-09-05,48
106,Pediatric Playtime #106,Project For Pediatric Playtime #106,2024-01-07,2024-04-24,23
107,Emergency Room Assistance #107,Project For Emergency Room Assistance #107,2024-03-09,2024-04-16,35
108,Language Interpretation for Patients #108,Project For Language Interpretation for Patients #108,2024-09-20,2024-12-05,14
109,Elderly Companionship #109,Project For Elderly Companionship #109,2024-09-27,2025-02-09,8
110,Hospital Fundraising Team #110,Project For Hospital Fundraising Team #110,2024-04-08,2024-09-17,36
111,Wheelchair Assistance #111,Project For Wheelchair Assistance #111,2024-05-10,2024-08-27,10
112,Art Therapy for Patients #112,Project For Art Therapy for Patients #112,2024-04-03,2024-06-04,45
113,Language Interpretation for Patients #113,Project For Language Interpretation for Patients #113,2024-01-02,2024-02-24,49
114,Pediatric Playtime #114,Project For Pediatric Playtime #114,2024-11-19,2025-04-18,46
115,Elderly Companionship #115,Project For Elderly Companionship #115,2024-06-01,2024-08-25,27
116,Post-Surgery Assistance #116,Project For Post-Surgery Assistance #116,2024-01-19,2024-07-08,31
117,Hospital Greeter Program #117,Project For Hospital Greeter Program #117,2024-04-14,2024-09-15,34
118,Music Therapy Sessions #118,Project For Music Therapy Sessions #118,2024-10-13,2024-11-22,26
119,Therapy Dog Visits #119,Project For Therapy Dog Visits #119,2024-07-15,2024-11-13,14
120,NICU Baby Cuddler #120,Project For NICU Baby Cuddler #120,2024-08-06,2024-12-24,40
121,Elderly Companionship #121,Project For Elderly Companionship #121,2024-06-26,2024-08-11,17
122,Language Interpretation for Patients #122,Project For Language Interpretation for Patients #122,2024-08-03,2024-11-10,13
123,Reading to Patients #123,Project For Reading to Patients #123,2024-07-08,2024-10-15,40
124,Language Interpretation for Patients #124,Project For Language Interpretation for Patients #124,2024-10-26,2025-03-10,40
125,Art Therapy for Patients #125,Project For Art Therapy for Patients #125,2024-12-31,2025-05-22,11
126,Hospital Fundraising Team #126,Project For Hospital Fundraising Team #126,2024-08-09,2024-10-01,28
127,Cancer Support Group #127,Project For Cancer Support Group #127,2024-01-03,2024-06-05,17
128,Emergency Room Assistance #128,Project For Emergency Room Assistance #128,2024-08-26,2024-11-30,17
129,Music Therapy Sessions #129,Project For Music Therapy Sessions #129,2024-02-06,2024-07-24,4
130,Hospital Greeter Program #130,Project For Hospital Greeter Program #130,2024-06-06,2024-09-05,47
131,Therapy Dog Visits #131,Project For Therapy Dog Visits #131,2024-09-15,2025-03-09,40
132,Hospital Fundraising Team #132,Project For Hospital Fundraising Team #132,2024-10-12,2024-11-25,23
133,Medical Supply Organization #133,Project For Medical Supply Organization #133,2024-08-20,2025-01-27,49
134,NICU Baby Cuddler #134,Project For NICU Baby Cuddler #134,2024-11-09,2025-01-04,2
135,Post-Surgery Assistance #135,Project For Post-Surgery Assistance #135,2024-09-22,2025-02-17,9
136,Pediatric Playtime #136,Project For Pediatric Playtime #136,2024-09-15,2024-12-25,15
137,Support for Families #137,Project For Support for Families #137,2024-11-13,2025-04-17,30
138,Art Therapy for Patients #138,Project For Art Therapy for Patients #138,2024-12-11,2025-05-28,12
139,Music Therapy Sessions #139,Project For Music Therapy Sessions #139,2024-08-16,2024-11-17,23
140,Hospital Greeter Program #140,Project For Hospital Greeter Program #140,2024-12-20,2025-04-08,44
141,Pediatric Playtime #141,Project For Pediatric Playtime #141,2024-07-01,2024-10-11,48
142,Medical Supply Organization #142,Project For Medical Supply Organization #142,2024-05-15,2024-08-22,6
143,Reading to Patients #143,Project For Reading to Patients #143,2024-06-23,2024-08-06,22
144,Hospital Greeter Program #144,Project For Hospital Greeter Program #144,2024-11-10,2025-04-07,41
145,Reading to Patients #145,Project For Reading to Patients #145,2024-01-03,2024-03-16,8
146,Post-Surgery Assistance #146,Project For Post-Surgery Assistance #146,2024-06-28,2024-11-12,34
147,Medical Supply Organization #147,Project For Medical Supply Organization #147,2024-10-31,2025-01-24,34
148,Support for Families #148,Project For Support for Families #148,2024-11-17,2025-01-20,12
149,Emergency Room Assistance #149,Project For Emergency Room Assistance #149,2024-11-05,2025-01-07,35
150,Wheelchair Assistance #150,Project For Wheelchair Assistance #150,2024-09-30,2024-11-21,23
151,NICU Baby Cuddler #151,Project For NICU Baby Cuddler #151,2024-12-24,2025-04-21,43
152,Support for Families #152,Project For Support for Families #152,2024-04-07,2024-05-17,34
153,Support for Families #153,Project For Support for Families #153,2024-06-09,2024-11-10,24
154,Pediatric Playtime #154,Project For Pediatric Playtime #154,2024-09-08,2025-01-21,3
155,Patient Transport Services #155,Project For Patient Transport Services #155,2024-10-08,2025-03-29,45
156,Music Therapy Sessions #156,Project For Music Therapy Sessions #156,2024-12-29,2025-04-13,21
157,Support for Families #157,Project For Support for Families #157,2024-06-01,2024-08-04,12
158,Pediatric Playtime #158,Project For Pediatric Playtime #158,2024-10-26,2025-02-13,46
159,Hospital Fundraising Team #159,Project For Hospital Fundraising Team #159,2024-01-03,2024-07-01,32
160,Patient Transport Services #160,Project For Patient Transport Services #160,2024-05-11,2024-08-11,40
161,Music Therapy Sessions #161,Project For Music Therapy Sessions #161,2024-11-17,2025-04-08,43
162,NICU Baby Cuddler #162,Project For NICU Baby Cuddler #162,2024-06-15,2024-12-12,22
163,Hospital Fundraising Team #163,Project For Hospital Fundraising Team #163,2024-12-31,2025-04-30,22
164,Hospital Fundraising Team #164,Project For Hospital Fundraising Team #164,2024-07-09,2024-11-16,34
165,Support for Families #165,Project For Support for Families #165,2024-09-21,2025-01-02,50
166,Hospital Fundraising Team #166,Project For Hospital Fundraising Team #166,2024-02-08,2024-06-29,48
167,Elderly Companionship #167,Project For Elderly Companionship #167,2024-03-21,2024-05-23,32
168,Elderly Companionship #168,Project For Elderly Companionship #168,2024-04-24,2024-06-17,26
169,Therapy Dog Visits #169,Project For Therapy Dog Visits #169,2024-01-09,2024-05-20,41
170,Hospital Greeter Program #170,Project For Hospital Greeter Program #170,2024-11-03,2025-01-18,48
171,Reading to Patients #171,Project For Reading to Patients #171,2024-08-23,2024-12-06,31
172,Post-Surgery Assistance #172,Project For Post-Surgery Assistance #172,2024-09-17,2024-12-28,16
173,Music Therapy Sessions #173,Project For Music Therapy Sessions #173,2024-05-10,2024-09-04,37
174,Cancer Support Group #174,Project For Cancer Support Group #174,2024-10-12,2024-12-26,22
175,Reading to Patients #175,Project For Reading to Patients #175,2024-02-01,2024-05-05,25
176,Therapy Dog Visits #176,Project For Therapy Dog Visits #176,2024-01-23,2024-05-29,39
177,Medical Supply Organization #177,Project For Medical Supply Organization #177,2024-08-15,2024-12-05,2
178,Pediatric Playtime #178,Project For Pediatric Playtime #178,2024-07-25,2024-11-16,36
179,Hospital Greeter Program #179,Project For Hospital Greeter Program #179,2024-07-01,2024-11-01,20
180,Cancer Support Group #180,Project For Cancer Support Group #180,2024-11-16,2025-04-23,33
181,Support for Families #181,Project For Support for Families #181,2024-04-17,2024-07-29,16
182,Reading to Patients #182,Project For Reading to Patients #182,2024-01-10,2024-06-05,42
183,Wheelchair Assistance #183,Project For Wheelchair Assistance #183,2024-09-01,2024-10-11,12
184,Hospital Fundraising Team #184,Project For Hospital Fundraising Team #184,2024-04-16,2024-06-12,14
185,Wheelchair Assistance #185,Project For Wheelchair Assistance #185,2024-09-03,2024-10-31,24
186,Blood Donation Drive #186,Project For Blood Donation Drive #186,2024-06-28,2024-10-02,4
187,Support for Families #187,Project For Support for Families #187,2024-11-11,2024-12-17,11
188,Art Therapy for Patients #188,Project For Art Therapy for Patients #188,2024-05-23,2024-06-24,49
189,Support for Families #189,Project For Support for Families #189,2024-10-13,2024-12-22,41
190,Cancer Support Group #190,Project For Cancer Support Group #190,2024-09-30,2024-11-30,46
191,Wheelchair Assistance #191,Project For Wheelchair Assistance #191,2024-02-23,2024-07-08,46
192,Patient Transport Services #192,Project For Patient Transport Services #192,2024-09-11,2024-12-16,38
193,Music Therapy Sessions #193,Project For Music Therapy Sessions #193,2024-04-20,2024-10-17,47
194,Child Life Volunteer Program #194,Project For Child Life Volunteer Program #194,2024-08-03,2024-11-07,25
195,Pediatric Playtime #195,Project For Pediatric Playtime #195,2024-10-03,2025-01-26,37
196,Medical Supply Organization #196,Project For Medical Supply Organization #196,2024-03-05,2024-07-11,6
197,Art Therapy for Patients #197,Project For Art Therapy for Patients #197,2024-11-26,2025-02-26,24
198,Cancer Support Group #198,Project For Cancer Support Group #198,2024-08-07,2025-01-21,28
199,NICU Baby Cuddler #199,Project For NICU Baby Cuddler #199,2024-11-19,2025-01-01,38
200,Post-Surgery Assistance #200,Project For Post-Surgery Assistance #200,2024-04-07,2024-08-17,8
201,Cancer Support Group #201,Project For Cancer Support Group #201,2024-09-22,2024-12-26,4
202,Therapy Dog Visits #202,Project For Therapy Dog Visits #202,2024-05-27,2024-07-24,43
203,Child Life Volunteer Program #203,Project For Child Life Volunteer Program #203,2024-12-24,2025-05-23,3
204,Child Life Volunteer Program #204,Project For Child Life Volunteer Program #204,2024-07-07,2025-01-01,41
205,Therapy Dog Visits #205,Project For Therapy Dog Visits #205,2024-04-05,2024-06-16,1
206,Pediatric Playtime #206,Project For Pediatric Playtime #206,2024-06-30,2024-09-10,40
207,Child Life Volunteer Program #207,Project For Child Life Volunteer Program #207,2024-09-17,2024-12-18,4
208,Hospital Greeter Program #208,Project For Hospital Greeter Program #208,2024-06-14,2024-09-15,26
209,Reading to Patients #209,Project For Reading to Patients #209,2024-04-03,2024-09-08,25
210,Child Life Volunteer Program #210,Project For Child Life Volunteer Program #210,2024-04-11,2024-07-10,20
211,NICU Baby Cuddler #211,Project For NICU Baby Cuddler #211,2024-09-13,2025-02-01,3
212,Blood Donation Drive #212,Project For Blood Donation Drive #212,2024-07-12,2024-11-08,36
213,Pediatric Playtime #213,Project For Pediatric Playtime #213,2024-04-05,2024-06-17,18
214,Therapy Dog Visits #214,Project For Therapy Dog Visits #214,2024-04-04,2024-06-06,40
215,Hospital Greeter Program #215,Project For Hospital Greeter Program #215,2024-02-19,2024-03-24,34
216,Hospital Fundraising Team #216,Project For Hospital Fundraising Team #216,2024-07-04,2024-12-14,31
217,Hospital Greeter Program #217,Project For Hospital Greeter Program #217,2024-07-16,2024-09-24,23
218,Elderly Companionship #218,Project For Elderly Companionship #218,2024-09-16,2024-11-26,49
219,Hospital Greeter Program #219,Project For Hospital Greeter Program #219,2024-07-08,2024-12-02,50
220,Mental Health Awareness #220,Project For Mental Health Awareness #220,2024-11-13,2025-03-07,10
221,Art Therapy for Patients #221,Project For Art Therapy for Patients #221,2024-10-30,2025-04-12,9
222,Therapy Dog Visits #222,Project For Therapy Dog Visits #222,2024-08-24,2024-10-06,42
223,Support for Families #223,Project For Support for Families #223,2024-01-07,2024-02-18,2
224,Elderly Companionship #224,Project For Elderly Companionship #224,2024-09-20,2025-02-17,47
225,Reading to Patients #225,Project For Reading to Patients #225,2024-08-25,2025-01-13,21
226,Pediatric Playtime #226,Project For Pediatric Playtime #226,2024-09-26,2025-01-31,45
227,Reading to Patients #227,Project For Reading to Patients #227,2024-12-20,2025-02-03,11
228,Elderly Companionship #228,Project For Elderly Companionship #228,2024-04-14,2024-08-07,38
229,Reading to Patients #229,Project For Reading to Patients #229,2024-12-15,2025-05-05,9
230,Art Therapy for Patients #230,Project For Art Therapy for Patients #230,2024-06-13,2024-10-28,48
231,Art Therapy for Patients #231,Project For Art Therapy for Patients #231,2024-06-17,2024-10-19,11
232,Emergency Room Assistance #232,Project For Emergency Room Assistance #232,2024-02-23,2024-06-19,47
233,Language Interpretation for Patients #233,Project For Language Interpretation for Patients #233,2024-06-02,2024-11-09,6
234,Post-Surgery Assistance #234,Project For Post-Surgery Assistance #234,2024-08-11,2025-01-21,6
235,Pediatric Playtime #235,Project For Pediatric Playtime #235,2024-08-03,2024-11-20,12
236,Patient Transport Services #236,Project For Patient Transport Services #236,2024-10-10,2025-01-01,1
237,Cancer Support Group #237,Project For Cancer Support Group #237,2024-10-26,2024-12-16,5
238,Therapy Dog Visits #238,Project For Therapy Dog Visits #238,2024-12-12,2025-05-25,8
239,Medical Supply Organization #239,Project For Medical Supply Organization #239,2024-09-21,2024-11-04,16
240,NICU Baby Cuddler #240,Project For NICU Baby Cuddler #240,2024-06-12,2024-09-07,34
241,Hospital Fundraising Team #241,Project For Hospital Fundraising Team #241,2024-04-24,2024-07-17,45
242,Music Therapy Sessions #242,Project For Music Therapy Sessions #242,2024-03-24,2024-07-26,47
243,Child Life Volunteer Program #243,Project For Child Life Volunteer Program #243,2024-10-24,2025-02-26,28
244,Blood Donation Drive #244,Project For Blood Donation Drive #244,2024-04-02,2024-06-19,6
245,Therapy Dog Visits #245,Project For Therapy Dog Visits #245,2024-03-06,2024-08-18,5
246,Pediatric Playtime #246,Project For Pediatric Playtime #246,2024-05-21,2024-08-06,1
247,Patient Transport Services #247,Project For Patient Transport Services #247,2024-10-19,2024-11-28,17
248,Post-Surgery Assistance #248,Project For Post-Surgery Assistance #248,2024-12-20,2025-05-04,42
249,Cancer Support Group #249,Project For Cancer Support Group #249,2024-01-22,2024-04-18,30
250,Therapy Dog Visits #250,Project For Therapy Dog Visits #250,2024-01-31,2024-07-04,16
251,Reading to Patients #251,Project For Reading to Patients #251,2024-05-01,2024-06-16,34
252,Support for Families #252,Project For Support for Families #252,2024-09-03,2025-01-19,19
253,Hospital Fundraising Team #253,Project For Hospital Fundraising Team #253,2024-12-18,2025-02-16,44
254,Elderly Companionship #254,Project For Elderly Companionship #254,2024-07-22,2024-11-10,30
255,Support for Families #255,Project For Support for Families #255,2024-07-31,2024-12-31,28
256,Elderly Companionship #256,Project For Elderly Companionship #256,2024-01-18,2024-02-27,13
257,Language Interpretation for Patients #257,Project For Language Interpretation for Patients #257,2024-06-18,2024-08-09,40
258,Emergency Room Assistance #258,Project For Emergency Room Assistance #258,2024-06-25,2024-08-10,9
259,Therapy Dog Visits #259,Project For Therapy Dog Visits #259,2024-05-26,2024-10-31,21
260,Cancer Support Group #260,Project For Cancer Support Group #260,2024-10-29,2025-03-11,44
261,Wheelchair Assistance #261,Project For Wheelchair Assistance #261,2024-08-16,2024-09-24,39
262,Language Interpretation for Patients #262,Project For Language Interpretation for Patients #262,2024-08-21,2024-12-23,24
263,Support for Families #263,Project For Support for Families #263,2024-02-16,2024-07-11,27
264,Child Life Volunteer Program #264,Project For Child Life Volunteer Program #264,2024-08-22,2024-10-14,44
265,Cancer Support Group #265,Project For Cancer Support Group #265,2024-06-14,2024-10-18,31
266,Therapy Dog Visits #266,Project For Therapy Dog Visits #266,2024-02-01,2024-07-12,26
267,Hospital Greeter Program #267,Project For Hospital Greeter Program #267,2024-04-26,2024-08-12,28
268,Hospital Greeter Program #268,Project For Hospital Greeter Program #268,2024-02-13,2024-05-18,36
269,Mental Health Awareness #269,Project For Mental Health Awareness #269,2024-05-04,2024-09-22,25
270,Mental Health Awareness #270,Project For Mental Health Awareness #270,2024-03-04,2024-05-23,17
271,Child Life Volunteer Program #271,Project For Child Life Volunteer Program #271,2024-01-25,2024-05-06,8
272,Mental Health Awareness #272,Project For Mental Health Awareness #272,2024-01-29,2024-03-12,36
273,Hospital Fundraising Team #273,Project For Hospital Fundraising Team #273,2024-09-28,2025-02-04,24
274,Mental Health Awareness #274,Project For Mental Health Awareness #274,2024-02-01,2024-04-13,4
275,Blood Donation Drive #275,Project For Blood Donation Drive #275,2024-09-23,2024-12-05,43
276,Reading to Patients #276,Project For Reading to Patients #276,2024-10-26,2025-02-16,50
277,Reading to Patients #277,Project For Reading to Patients #277,2024-07-25,2024-11-01,46
278,Post-Surgery Assistance #278,Project For Post-Surgery Assistance #278,2024-02-09,2024-07-08,50
279,Pediatric Playtime #279,Project For Pediatric Playtime #279,2024-12-23,2025-02-23,27
280,Blood Donation Drive #280,Project For Blood Donation Drive #280,2024-03-05,2024-07-18,37
281,Language Interpretation for Patients #281,Project For Language Interpretation for Patients #281,2024-03-12,2024-08-19,11
282,Language Interpretation for Patients #282,Project For Language Interpretation for Patients #282,2024-08-13,2025-02-01,50
283,Pediatric Playtime #283,Project For Pediatric Playtime #283,2024-02-08,2024-04-15,29
284,Child Life Volunteer Program #284,Project For Child Life Volunteer Program #284,2024-06-08,2024-10-21,28
285,Hospital Greeter Program #285,Project For Hospital Greeter Program #285,2024-04-06,2024-06-01,23
286,Hospital Fundraising Team #286,Project For Hospital Fundraising Team #286,2024-12-06,2025-03-04,42
287,Support for Families #287,Project For Support for Families #287,2024-08-19,2024-10-14,28
288,Pediatric Playtime #288,Project For Pediatric Playtime #288,2024-11-30,2025-01-05,18
289,Emergency Room Assistance #289,Project For Emergency Room Assistance #289,2024-03-01,2024-06-15,36
290,Child Life Volunteer Program #290,Project For Child Life Volunteer Program #290,2024-01-06,2024-06-18,30
291,Therapy Dog Visits #291,Project For Therapy Dog Visits #291,2024-05-23,2024-08-21,8
292,Emergency Room Assistance #292,Project For Emergency Room Assistance #292,2024-12-07,2025-04-01,11
293,Language Interpretation for Patients #293,Project For Language Interpretation for Patients #293,2024-03-11,2024-05-16,30
294,Language Interpretation for Patients #294,Project For Language Interpretation for Patients #294,2024-01-15,2024-06-06,4
295,Mental Health Awareness #295,Project For Mental Health Awareness #295,2024-11-04,2024-12-04,6
296,Hospital Fundraising Team #296,Project For Hospital Fundraising Team #296,2024-07-20,2025-01-12,4
297,Post-Surgery Assistance #297,Project For Post-Surgery Assistance #297,2024-12-07,2025-04-12,21
298,Elderly Companionship #298,Project For Elderly Companionship #298,2024-01-17,2024-04-27,25
299,Reading to Patients #299,Project For Reading to Patients #299,2024-08-07,2024-11-18,3
300,Elderly Companionship #300,Project For Elderly Companionship #300,2024-06-29,2024-12-04,27
301,Music Therapy Sessions #301,Project For Music Therapy Sessions #301,2024-02-02,2024-05-04,38
302,Music Therapy Sessions #302,Project For Music Therapy Sessions #302,2024-10-31,2025-01-24,1
303,NICU Baby Cuddler #303,Project For NICU Baby Cuddler #303,2024-11-08,2025-01-15,10
304,Hospital Greeter Program #304,Project For Hospital Greeter Program #304,2024-07-13,2024-10-28,5
305,Cancer Support Group #305,Project For Cancer Support Group #305,2024-11-30,2025-04-21,24
