TrainingID,TrainingName,TrainingDate,Description
28,Medical Billing and Coding,2024-12-17,Medical Billing and Coding description for healthcare purposes.
29,Nutrition for Healthcare Workers,2025-01-12,Nutrition for Healthcare Workers description for healthcare purposes.
30,Emergency Medical Technician (EMT) Training,2025-05-22,Emergency Medical Technician (EMT) Training description for healthcare purposes.
31,Critical Care Nursing,2025-12-24,Critical Care Nursing description for healthcare purposes.
32,Pain Management Techniques,2025-05-01,Pain Management Techniques description for healthcare purposes.
33,Audiology Assistant Training,2024-08-16,Audiology Assistant Training description for healthcare purposes.
34,Optometry Technician Certification,2024-04-19,Optometry Technician Certification description for healthcare purposes.
35,Palliative Care Training,2025-09-05,Palliative Care Training description for healthcare purposes.
36,Diabetes Management for Healthcare Providers,2024-11-15,Diabetes Management for Healthcare Providers description for healthcare purposes.
37,Emergency Room (ER) Procedures,2025-06-29,Emergency Room (ER) Procedures description for healthcare purposes.
38,Advanced Nursing Practices,2024-01-24,Advanced Nursing Practices description for healthcare purposes.
39,Childbirth Education for Healthcare Workers,2024-08-31,Childbirth Education for Healthcare Workers description for healthcare purposes.
40,Healthcare Leadership and Management Training,2025-03-06,Healthcare Leadership and Management Training description for healthcare purposes.
41,Laboratory Safety and Procedures,2025-02-08,Laboratory Safety and Procedures description for healthcare purposes.
42,Medical Ethics and Legal Responsibilities,2025-03-13,Medical Ethics and Legal Responsibilities description for healthcare purposes.
43,Patient Safety Training,2024-07-10,Patient Safety Training description for healthcare purposes.
44,Hygiene and Infection Control in Healthcare,2025-02-28,Hygiene and Infection Control in Healthcare description for healthcare purposes.
45,Behavioral Health Training,2024-02-09,Behavioral Health Training description for healthcare purposes.
46,Trauma Care and Management,2024-10-19,Trauma Care and Management description for healthcare purposes.
47,Health and Wellness Coaching,2024-06-02,Health and Wellness Coaching description for healthcare purposes.
48,End-of-Life Care Training,2024-03-12,End-of-Life Care Training description for healthcare purposes.
49,Pediatric First Aid and CPR,2024-09-18,Pediatric First Aid and CPR description for healthcare purposes.
50,Medical Research Assistant Training,2025-04-10,Medical Research Assistant Training description for healthcare purposes.
51,Healthcare Quality Assurance,2025-01-05,Healthcare Quality Assurance description for healthcare purposes.
52,Clinical Trials Management,2024-10-14,Clinical Trials Management description for healthcare purposes.
53,Cardiac Rehabilitation Training,2024-01-19,Cardiac Rehabilitation Training description for healthcare purposes.
54,Injury Prevention and Safety in Healthcare,2025-03-12,Injury Prevention and Safety in Healthcare description for healthcare purposes.
55,Healthcare IT and Data Management,2024-10-27,Healthcare IT and Data Management description for healthcare purposes.
56,Pain and Symptom Management for Healthcare Workers,2025-09-12,Pain and Symptom Management for Healthcare Workers description for healthcare purposes.
57,Community Health Training,2025-01-13,Community Health Training description for healthcare purposes.
58,Surgical Assistant Training,2025-02-13,Surgical Assistant Training description for healthcare purposes.
59,Healthcare Communication Skills,2025-03-14,Healthcare Communication Skills description for healthcare purposes.
60,Mental Health Support in Healthcare,2025-02-26,Mental Health Support in Healthcare description for healthcare purposes.
61,Health Information Management,2024-10-24,Health Information Management description for healthcare purposes.
62,Emergency Disaster Management,2025-05-01,Emergency Disaster Management description for healthcare purposes.
63,Personal Protective Equipment (PPE) Training,2024-09-25,Personal Protective Equipment (PPE) Training description for healthcare purposes.
64,Radiation Safety and Protection,2025-09-20,Radiation Safety and Protection description for healthcare purposes.
65,Anesthesia Technician Certification,2025-09-05,Anesthesia Technician Certification description for healthcare purposes.
66,Patient Advocacy Training,2024-01-08,Patient Advocacy Training description for healthcare purposes.
67,Chronic Disease Management Training,2024-07-08,Chronic Disease Management Training description for healthcare purposes.
68,Gastroenterology Assistant Training,2025-02-16,Gastroenterology Assistant Training description for healthcare purposes.
69,Dermatology Assistant Certification,2024-10-20,Dermatology Assistant Certification description for healthcare purposes.
70,Laboratory Technician Skills,2024-12-23,Laboratory Technician Skills description for healthcare purposes.
71,Ambulance Driving and Safety Training,2025-12-04,Ambulance Driving and Safety Training description for healthcare purposes.
72,Clinical Research Assistant Skills,2024-11-02,Clinical Research Assistant Skills description for healthcare purposes.
73,Maternity Care Assistant Training,2025-09-27,Maternity Care Assistant Training description for healthcare purposes.
74,Allergy and Immunology Assistant Training,2024-04-29,Allergy and Immunology Assistant Training description for healthcare purposes.
75,Speech and Language Pathology Assistant,2025-12-11,Speech and Language Pathology Assistant description for healthcare purposes.
76,Neurology Assistant Training,2024-03-20,Neurology Assistant Training description for healthcare purposes.
77,Cardiology Technician Certification,2025-12-01,Cardiology Technician Certification description for healthcare purposes.
78,Obstetric Assistant Training,2024-06-26,Obstetric Assistant Training description for healthcare purposes.
79,Veterinary Health Assistant Training,2024-10-04,Veterinary Health Assistant Training description for healthcare purposes.
80,Medical Photography Training,2025-05-12,Medical Photography Training description for healthcare purposes.
81,Genetics Counseling Certification,2025-11-04,Genetics Counseling Certification description for healthcare purposes.
82,Pharmacology for Healthcare Workers,2025-05-18,Pharmacology for Healthcare Workers description for healthcare purposes.
83,Medical Transcription Skills,2024-11-22,Medical Transcription Skills description for healthcare purposes.
84,Healthcare Legal Compliance Training,2024-07-24,Healthcare Legal Compliance Training description for healthcare purposes.
85,Inpatient Care Management,2024-05-27,Inpatient Care Management description for healthcare purposes.
86,Outpatient Services Training,2024-07-11,Outpatient Services Training description for healthcare purposes.
87,Geriatric Social Work Skills,2025-09-09,Geriatric Social Work Skills description for healthcare purposes.
88,Hematology Technician Training,2025-08-27,Hematology Technician Training description for healthcare purposes.
89,Biotechnology for Healthcare Workers,2025-07-16,Biotechnology for Healthcare Workers description for healthcare purposes.
90,Emergency Medical Dispatching,2025-11-30,Emergency Medical Dispatching description for healthcare purposes.
91,Clinical Microbiology Skills,2024-08-05,Clinical Microbiology Skills description for healthcare purposes.
92,Cytology Technician Certification,2025-11-12,Cytology Technician Certification description for healthcare purposes.
93,Endoscopy Technician Training,2025-06-04,Endoscopy Technician Training description for healthcare purposes.
94,Advanced Patient Care Certification,2024-04-07,Advanced Patient Care Certification description for healthcare purposes.
95,Nutrition Counseling for Healthcare Providers,2024-07-20,Nutrition Counseling for Healthcare Providers description for healthcare purposes.
96,Oncology Nursing Care,2024-07-27,Oncology Nursing Care description for healthcare purposes.
97,Advanced Cardiac Life Support (ACLS),2024-10-28,Advanced Cardiac Life Support (ACLS) description for healthcare purposes.
98,Burn Care Management,2024-12-01,Burn Care Management description for healthcare purposes.
99,Wound Dressing and Care,2024-03-26,Wound Dressing and Care description for healthcare purposes.
100,Post-Operative Care Certification,2024-09-25,Post-Operative Care Certification description for healthcare purposes.
101,Medical Social Worker Training,2024-06-23,Medical Social Worker Training description for healthcare purposes.
102,Clinical Nursing Education,2024-11-19,Clinical Nursing Education description for healthcare purposes.
103,Medical Assistant Skills,2025-08-31,Medical Assistant Skills description for healthcare purposes.
104,Orthotics and Prosthetics Assistant,2024-10-19,Orthotics and Prosthetics Assistant description for healthcare purposes.
105,Family Medicine Assistant Training,2025-04-16,Family Medicine Assistant Training description for healthcare purposes.
106,Radiation Oncology Certification,2024-08-04,Radiation Oncology Certification description for healthcare purposes.
107,Reproductive Health Assistant Training,2024-12-05,Reproductive Health Assistant Training description for healthcare purposes.
108,Healthcare Marketing and PR Training,2025-12-29,Healthcare Marketing and PR Training description for healthcare purposes.
109,Health Insurance for Healthcare Workers,2024-06-26,Health Insurance for Healthcare Workers description for healthcare purposes.
110,Medical Coding and Billing,2025-11-02,Medical Coding and Billing description for healthcare purposes.
111,Clinical Decision Making for Healthcare,2025-05-24,Clinical Decision Making for Healthcare description for healthcare purposes.
112,Laboratory Management Skills,2025-09-06,Laboratory Management Skills description for healthcare purposes.
113,Public Health Assistant Certification,2025-07-06,Public Health Assistant Certification description for healthcare purposes.
114,Human Resources for Healthcare Organizations,2025-07-25,Human Resources for Healthcare Organizations description for healthcare purposes.
115,Neonatal Nursing Care,2024-07-28,Neonatal Nursing Care description for healthcare purposes.
116,Substance Abuse Counseling in Healthcare,2025-04-04,Substance Abuse Counseling in Healthcare description for healthcare purposes.
117,Medical Device Sales Training,2024-06-26,Medical Device Sales Training description for healthcare purposes.
118,Alternative Medicine Practices in Healthcare,2025-11-15,Alternative Medicine Practices in Healthcare description for healthcare purposes.
119,Healthcare Financial Management,2025-10-19,Healthcare Financial Management description for healthcare purposes.
120,Chronic Pain Management,2024-03-28,Chronic Pain Management description for healthcare purposes.
121,Physical Rehabilitation Techniques,2024-09-21,Physical Rehabilitation Techniques description for healthcare purposes.
122,Pediatric Respiratory Therapy,2024-08-07,Pediatric Respiratory Therapy description for healthcare purposes.
123,Hearing Aid Technician Certification,2024-11-18,Hearing Aid Technician Certification description for healthcare purposes.
124,Nutrition Assistant in Healthcare,2025-02-09,Nutrition Assistant in Healthcare description for healthcare purposes.
125,Healthcare Compliance and Regulations,2025-12-16,Healthcare Compliance and Regulations description for healthcare purposes.
126,Long-Term Care Assistant Certification,2025-06-12,Long-Term Care Assistant Certification description for healthcare purposes.
127,Behavioral Health Assistant Training,2025-08-10,Behavioral Health Assistant Training description for healthcare purposes.
128,Nutrition Therapy for Healthcare Workers,2025-06-05,Nutrition Therapy for Healthcare Workers description for healthcare purposes.
129,Psychiatric Nursing Care,2025-06-20,Psychiatric Nursing Care description for healthcare purposes.
130,Nurse Practitioner Skills,2024-05-28,Nurse Practitioner Skills description for healthcare purposes.
131,Healthcare Project Management,2024-01-19,Healthcare Project Management description for healthcare purposes.
132,Pharmacy Technician Training,2025-08-21,Pharmacy Technician Training description for healthcare purposes.
133,Orthopedic Nursing Assistant,2025-08-19,Orthopedic Nursing Assistant description for healthcare purposes.
134,Emergency Care Procedures in Rural Healthcare,2024-06-06,Emergency Care Procedures in Rural Healthcare description for healthcare purposes.
135,Eye Care Technician Certification,2025-06-24,Eye Care Technician Certification description for healthcare purposes.
136,Respiratory Disease Management,2024-05-10,Respiratory Disease Management description for healthcare purposes.
137,Dialysis Technician Training,2024-02-27,Dialysis Technician Training description for healthcare purposes.
138,Hematology Assistant Skills,2024-07-06,Hematology Assistant Skills description for healthcare purposes.
139,Physical Therapy Assistant,2025-04-23,Physical Therapy Assistant description for healthcare purposes.
140,Health and Safety for Healthcare Workers,2024-05-28,Health and Safety for Healthcare Workers description for healthcare purposes.
141,Family Medicine Nursing,2025-11-04,Family Medicine Nursing description for healthcare purposes.
142,Radiology Technician Skills,2024-09-25,Radiology Technician Skills description for healthcare purposes.
143,Clinical Pharmacist Assistant,2024-01-27,Clinical Pharmacist Assistant description for healthcare purposes.
144,Environmental Health and Safety in Healthcare,2024-08-16,Environmental Health and Safety in Healthcare description for healthcare purposes.
145,Medical Research Skills,2025-04-03,Medical Research Skills description for healthcare purposes.
146,Healthcare Fraud Prevention,2024-01-27,Healthcare Fraud Prevention description for healthcare purposes.
147,Geriatric Psychiatry Training,2025-08-22,Geriatric Psychiatry Training description for healthcare purposes.
148,Acute Care Nurse Practitioner Certification,2024-06-06,Acute Care Nurse Practitioner Certification description for healthcare purposes.
149,Elderly Patient Care Techniques,2024-12-14,Elderly Patient Care Techniques description for healthcare purposes.
150,Healthcare Facility Management,2024-02-17,Healthcare Facility Management description for healthcare purposes.
151,Patient Assessment and Diagnosis,2025-11-24,Patient Assessment and Diagnosis description for healthcare purposes.
152,Trauma Nursing Care,2024-09-07,Trauma Nursing Care description for healthcare purposes.
153,Pathology Technician Certification,2025-08-24,Pathology Technician Certification description for healthcare purposes.
154,Clinical Data Analysis for Healthcare,2024-11-20,Clinical Data Analysis for Healthcare description for healthcare purposes.
155,Emergency Medical Response Training,2024-04-11,Emergency Medical Response Training description for healthcare purposes.
156,Healthcare Marketing Skills,2024-11-14,Healthcare Marketing Skills description for healthcare purposes.
157,Medical Equipment Maintenance,2024-02-21,Medical Equipment Maintenance description for healthcare purposes.
158,Neonatal Intensive Care Unit (NICU) Training,2024-06-18,Neonatal Intensive Care Unit (NICU) Training description for healthcare purposes.
159,Healthcare Robotics Training,2025-02-20,Healthcare Robotics Training description for healthcare purposes.
160,Veterinary Surgery Assistant,2024-12-24,Veterinary Surgery Assistant description for healthcare purposes.
161,Mental Health Counseling Certification,2025-12-14,Mental Health Counseling Certification description for healthcare purposes.
162,Pharmaceutical Research and Development,2025-12-08,Pharmaceutical Research and Development description for healthcare purposes.
163,CPR and First Aid Certification,2025-09-19,CPR and First Aid Certification description for healthcare purposes.
164,Emergency Response Training,2025-12-09,Emergency Response Training description for healthcare purposes.
165,X-ray Technician Certification,2025-04-19,X-ray Technician Certification description for healthcare purposes.
166,Medical Record Keeping,2024-05-23,Medical Record Keeping description for healthcare purposes.
167,Nursing Assistant Skills,2025-08-11,Nursing Assistant Skills description for healthcare purposes.
168,Advanced Life Support (ALS) Training,2024-01-01,Advanced Life Support (ALS) Training description for healthcare purposes.
169,Pharmacy Assistant Training,2024-11-01,Pharmacy Assistant Training description for healthcare purposes.
170,Surgical Support Training,2024-05-28,Surgical Support Training description for healthcare purposes.
171,Patient Care Assistant Certification,2025-04-07,Patient Care Assistant Certification description for healthcare purposes.
172,Infection Control Training,2024-03-19,Infection Control Training description for healthcare purposes.
173,Wound Care Management,2024-04-29,Wound Care Management description for healthcare purposes.
174,Medical Equipment Handling,2025-03-21,Medical Equipment Handling description for healthcare purposes.
175,Clinical Laboratory Technician Training,2024-02-28,Clinical Laboratory Technician Training description for healthcare purposes.
176,Cardiopulmonary Resuscitation (CPR) for Healthcare Workers,2024-05-22,Cardiopulmonary Resuscitation (CPR) for Healthcare Workers description for healthcare purposes.
177,Pediatric Nursing Care,2025-08-17,Pediatric Nursing Care description for healthcare purposes.
178,Geriatric Care Training,2024-01-06,Geriatric Care Training description for healthcare purposes.
179,Blood Transfusion Safety and Procedures,2024-09-13,Blood Transfusion Safety and Procedures description for healthcare purposes.
180,Orthopedic Care Assistant,2025-06-09,Orthopedic Care Assistant description for healthcare purposes.
181,Respiratory Therapy Certification,2025-07-02,Respiratory Therapy Certification description for healthcare purposes.
182,Mental Health First Aid,2024-03-19,Mental Health First Aid description for healthcare purposes.
183,Hospital Administration Skills,2025-12-13,Hospital Administration Skills description for healthcare purposes.
184,Phlebotomy Technician Training,2024-04-18,Phlebotomy Technician Training description for healthcare purposes.
185,Patient Transportation Training,2025-03-27,Patient Transportation Training description for healthcare purposes.
186,Sterile Processing Technician Certification,2024-07-18,Sterile Processing Technician Certification description for healthcare purposes.
187,Radiology Safety Procedures,2024-11-29,Radiology Safety Procedures description for healthcare purposes.
188,Rehabilitation Assistant Training,2024-07-08,Rehabilitation Assistant Training description for healthcare purposes.
189,Physical Therapy Aide Training,2024-07-22,Physical Therapy Aide Training description for healthcare purposes.
190,Medical Billing and Coding,2025-03-20,Medical Billing and Coding description for healthcare purposes.
191,Nutrition for Healthcare Workers,2024-10-12,Nutrition for Healthcare Workers description for healthcare purposes.
192,Emergency Medical Technician (EMT) Training,2024-03-07,Emergency Medical Technician (EMT) Training description for healthcare purposes.
193,Critical Care Nursing,2024-10-27,Critical Care Nursing description for healthcare purposes.
194,Pain Management Techniques,2025-08-03,Pain Management Techniques description for healthcare purposes.
195,Audiology Assistant Training,2025-09-06,Audiology Assistant Training description for healthcare purposes.
196,Optometry Technician Certification,2025-03-29,Optometry Technician Certification description for healthcare purposes.
197,Palliative Care Training,2025-12-30,Palliative Care Training description for healthcare purposes.
198,Diabetes Management for Healthcare Providers,2024-12-16,Diabetes Management for Healthcare Providers description for healthcare purposes.
199,Emergency Room (ER) Procedures,2024-08-28,Emergency Room (ER) Procedures description for healthcare purposes.
200,Advanced Nursing Practices,2024-06-04,Advanced Nursing Practices description for healthcare purposes.
201,Childbirth Education for Healthcare Workers,2025-10-01,Childbirth Education for Healthcare Workers description for healthcare purposes.
202,Healthcare Leadership and Management Training,2024-02-10,Healthcare Leadership and Management Training description for healthcare purposes.
203,Laboratory Safety and Procedures,2024-11-15,Laboratory Safety and Procedures description for healthcare purposes.
204,Medical Ethics and Legal Responsibilities,2025-09-06,Medical Ethics and Legal Responsibilities description for healthcare purposes.
205,Patient Safety Training,2025-12-06,Patient Safety Training description for healthcare purposes.
206,Hygiene and Infection Control in Healthcare,2025-12-09,Hygiene and Infection Control in Healthcare description for healthcare purposes.
207,Behavioral Health Training,2024-01-20,Behavioral Health Training description for healthcare purposes.
208,Trauma Care and Management,2024-09-22,Trauma Care and Management description for healthcare purposes.
209,Health and Wellness Coaching,2024-05-27,Health and Wellness Coaching description for healthcare purposes.
210,End-of-Life Care Training,2025-06-04,End-of-Life Care Training description for healthcare purposes.
211,Pediatric First Aid and CPR,2024-02-12,Pediatric First Aid and CPR description for healthcare purposes.
212,Medical Research Assistant Training,2024-02-25,Medical Research Assistant Training description for healthcare purposes.
213,Healthcare Quality Assurance,2024-12-30,Healthcare Quality Assurance description for healthcare purposes.
214,Clinical Trials Management,2024-05-10,Clinical Trials Management description for healthcare purposes.
215,Cardiac Rehabilitation Training,2025-06-03,Cardiac Rehabilitation Training description for healthcare purposes.
216,Injury Prevention and Safety in Healthcare,2024-10-29,Injury Prevention and Safety in Healthcare description for healthcare purposes.
217,Healthcare IT and Data Management,2024-08-02,Healthcare IT and Data Management description for healthcare purposes.
218,Pain and Symptom Management for Healthcare Workers,2024-07-11,Pain and Symptom Management for Healthcare Workers description for healthcare purposes.
219,Community Health Training,2025-05-20,Community Health Training description for healthcare purposes.
220,Surgical Assistant Training,2025-05-04,Surgical Assistant Training description for healthcare purposes.
221,Healthcare Communication Skills,2024-12-02,Healthcare Communication Skills description for healthcare purposes.
222,Mental Health Support in Healthcare,2025-09-07,Mental Health Support in Healthcare description for healthcare purposes.
223,Health Information Management,2024-04-20,Health Information Management description for healthcare purposes.
224,Emergency Disaster Management,2024-04-11,Emergency Disaster Management description for healthcare purposes.
225,Personal Protective Equipment (PPE) Training,2024-08-12,Personal Protective Equipment (PPE) Training description for healthcare purposes.
226,Radiation Safety and Protection,2024-09-24,Radiation Safety and Protection description for healthcare purposes.
227,Anesthesia Technician Certification,2024-10-01,Anesthesia Technician Certification description for healthcare purposes.
228,Patient Advocacy Training,2025-06-01,Patient Advocacy Training description for healthcare purposes.
229,Chronic Disease Management Training,2024-02-16,Chronic Disease Management Training description for healthcare purposes.
230,Gastroenterology Assistant Training,2024-05-10,Gastroenterology Assistant Training description for healthcare purposes.
231,Dermatology Assistant Certification,2025-04-21,Dermatology Assistant Certification description for healthcare purposes.
232,Laboratory Technician Skills,2025-02-18,Laboratory Technician Skills description for healthcare purposes.
233,Ambulance Driving and Safety Training,2024-10-02,Ambulance Driving and Safety Training description for healthcare purposes.
234,Clinical Research Assistant Skills,2024-07-30,Clinical Research Assistant Skills description for healthcare purposes.
235,Maternity Care Assistant Training,2024-03-09,Maternity Care Assistant Training description for healthcare purposes.
236,Allergy and Immunology Assistant Training,2025-12-16,Allergy and Immunology Assistant Training description for healthcare purposes.
237,Speech and Language Pathology Assistant,2025-07-11,Speech and Language Pathology Assistant description for healthcare purposes.
238,Neurology Assistant Training,2024-07-16,Neurology Assistant Training description for healthcare purposes.
239,Cardiology Technician Certification,2025-03-28,Cardiology Technician Certification description for healthcare purposes.
240,Obstetric Assistant Training,2024-04-20,Obstetric Assistant Training description for healthcare purposes.
241,Veterinary Health Assistant Training,2024-07-14,Veterinary Health Assistant Training description for healthcare purposes.
242,Medical Photography Training,2024-12-04,Medical Photography Training description for healthcare purposes.
243,Genetics Counseling Certification,2025-02-10,Genetics Counseling Certification description for healthcare purposes.
244,Pharmacology for Healthcare Workers,2025-02-13,Pharmacology for Healthcare Workers description for healthcare purposes.
245,Medical Transcription Skills,2025-09-10,Medical Transcription Skills description for healthcare purposes.
246,Healthcare Legal Compliance Training,2025-10-06,Healthcare Legal Compliance Training description for healthcare purposes.
247,Inpatient Care Management,2025-02-11,Inpatient Care Management description for healthcare purposes.
248,Outpatient Services Training,2024-08-13,Outpatient Services Training description for healthcare purposes.
249,Geriatric Social Work Skills,2025-10-12,Geriatric Social Work Skills description for healthcare purposes.
250,Hematology Technician Training,2025-06-21,Hematology Technician Training description for healthcare purposes.
251,Biotechnology for Healthcare Workers,2025-07-15,Biotechnology for Healthcare Workers description for healthcare purposes.
252,Emergency Medical Dispatching,2025-04-30,Emergency Medical Dispatching description for healthcare purposes.
253,Clinical Microbiology Skills,2024-06-21,Clinical Microbiology Skills description for healthcare purposes.
254,Cytology Technician Certification,2025-04-07,Cytology Technician Certification description for healthcare purposes.
255,Endoscopy Technician Training,2025-08-15,Endoscopy Technician Training description for healthcare purposes.
256,Advanced Patient Care Certification,2024-12-19,Advanced Patient Care Certification description for healthcare purposes.
257,Nutrition Counseling for Healthcare Providers,2024-09-29,Nutrition Counseling for Healthcare Providers description for healthcare purposes.
258,Oncology Nursing Care,2024-09-07,Oncology Nursing Care description for healthcare purposes.
259,Advanced Cardiac Life Support (ACLS),2025-05-31,Advanced Cardiac Life Support (ACLS) description for healthcare purposes.
260,Burn Care Management,2025-04-10,Burn Care Management description for healthcare purposes.
261,Wound Dressing and Care,2025-07-06,Wound Dressing and Care description for healthcare purposes.
262,Post-Operative Care Certification,2024-03-20,Post-Operative Care Certification description for healthcare purposes.
263,Medical Social Worker Training,2025-10-22,Medical Social Worker Training description for healthcare purposes.
264,Clinical Nursing Education,2025-03-03,Clinical Nursing Education description for healthcare purposes.
265,Medical Assistant Skills,2025-10-22,Medical Assistant Skills description for healthcare purposes.
266,Orthotics and Prosthetics Assistant,2024-08-24,Orthotics and Prosthetics Assistant description for healthcare purposes.
267,Family Medicine Assistant Training,2025-06-24,Family Medicine Assistant Training description for healthcare purposes.
268,Radiation Oncology Certification,2025-10-30,Radiation Oncology Certification description for healthcare purposes.
269,Reproductive Health Assistant Training,2025-01-18,Reproductive Health Assistant Training description for healthcare purposes.
270,Healthcare Marketing and PR Training,2025-12-02,Healthcare Marketing and PR Training description for healthcare purposes.
271,Health Insurance for Healthcare Workers,2025-04-23,Health Insurance for Healthcare Workers description for healthcare purposes.
272,Medical Coding and Billing,2024-05-24,Medical Coding and Billing description for healthcare purposes.
273,Clinical Decision Making for Healthcare,2024-12-30,Clinical Decision Making for Healthcare description for healthcare purposes.
274,Laboratory Management Skills,2025-01-24,Laboratory Management Skills description for healthcare purposes.
275,Public Health Assistant Certification,2024-12-14,Public Health Assistant Certification description for healthcare purposes.
276,Human Resources for Healthcare Organizations,2024-11-14,Human Resources for Healthcare Organizations description for healthcare purposes.
277,Neonatal Nursing Care,2025-12-20,Neonatal Nursing Care description for healthcare purposes.
278,Substance Abuse Counseling in Healthcare,2024-02-10,Substance Abuse Counseling in Healthcare description for healthcare purposes.
279,Medical Device Sales Training,2025-05-21,Medical Device Sales Training description for healthcare purposes.
280,Alternative Medicine Practices in Healthcare,2024-11-06,Alternative Medicine Practices in Healthcare description for healthcare purposes.
281,Healthcare Financial Management,2025-12-17,Healthcare Financial Management description for healthcare purposes.
282,Chronic Pain Management,2025-02-23,Chronic Pain Management description for healthcare purposes.
283,Physical Rehabilitation Techniques,2025-11-17,Physical Rehabilitation Techniques description for healthcare purposes.
284,Pediatric Respiratory Therapy,2025-05-05,Pediatric Respiratory Therapy description for healthcare purposes.
285,Hearing Aid Technician Certification,2024-03-16,Hearing Aid Technician Certification description for healthcare purposes.
286,Nutrition Assistant in Healthcare,2025-05-16,Nutrition Assistant in Healthcare description for healthcare purposes.
287,Healthcare Compliance and Regulations,2024-10-22,Healthcare Compliance and Regulations description for healthcare purposes.
288,Long-Term Care Assistant Certification,2024-01-14,Long-Term Care Assistant Certification description for healthcare purposes.
289,Behavioral Health Assistant Training,2025-01-16,Behavioral Health Assistant Training description for healthcare purposes.
290,Nutrition Therapy for Healthcare Workers,2024-08-03,Nutrition Therapy for Healthcare Workers description for healthcare purposes.
291,Psychiatric Nursing Care,2024-08-02,Psychiatric Nursing Care description for healthcare purposes.
292,Nurse Practitioner Skills,2024-11-17,Nurse Practitioner Skills description for healthcare purposes.
293,Healthcare Project Management,2024-05-30,Healthcare Project Management description for healthcare purposes.
294,Pharmacy Technician Training,2025-04-12,Pharmacy Technician Training description for healthcare purposes.
295,Orthopedic Nursing Assistant,2025-02-09,Orthopedic Nursing Assistant description for healthcare purposes.
296,Emergency Care Procedures in Rural Healthcare,2024-08-27,Emergency Care Procedures in Rural Healthcare description for healthcare purposes.
297,Eye Care Technician Certification,2024-06-11,Eye Care Technician Certification description for healthcare purposes.
298,Respiratory Disease Management,2025-08-29,Respiratory Disease Management description for healthcare purposes.
299,Dialysis Technician Training,2025-12-23,Dialysis Technician Training description for healthcare purposes.
300,Hematology Assistant Skills,2024-09-17,Hematology Assistant Skills description for healthcare purposes.
301,Physical Therapy Assistant,2024-07-01,Physical Therapy Assistant description for healthcare purposes.
302,Health and Safety for Healthcare Workers,2024-12-07,Health and Safety for Healthcare Workers description for healthcare purposes.
303,Family Medicine Nursing,2024-10-21,Family Medicine Nursing description for healthcare purposes.
304,Radiology Technician Skills,2024-06-19,Radiology Technician Skills description for healthcare purposes.
305,Clinical Pharmacist Assistant,2025-12-16,Clinical Pharmacist Assistant description for healthcare purposes.
306,Environmental Health and Safety in Healthcare,2024-03-09,Environmental Health and Safety in Healthcare description for healthcare purposes.
307,Medical Research Skills,2024-06-17,Medical Research Skills description for healthcare purposes.
308,Healthcare Fraud Prevention,2025-05-21,Healthcare Fraud Prevention description for healthcare purposes.
